#  angular     chi       unc       chi       unc
# frequency   prime                 pp
    13413     0.869     0.188    -0.015     0.151
    14644     1.156     0.178     0.091     0.189
    15875     1.295     0.162     0.176     0.188
    17106     0.848     0.237    -0.105     0.238
    18336     0.794     0.232    -0.204     0.137
    19567     1.204     0.139     0.089     0.197
    20798     1.107     0.264     0.283     0.182
    22028     1.135     0.286    -0.357     0.215
    23259     1.318     0.192     0.110     0.190
    24490     1.296     0.209     0.251     0.217
    25721     1.055     0.260     0.337     0.225
    26951     1.229     0.190     0.395     0.335
    28182     1.182     0.167     0.075     0.089
    29413     1.369     0.067    -0.018     0.147
    30643     1.509     0.249    -0.084     0.254
    31874     1.235     0.248     0.216     0.203
    33105     1.227     0.203     0.270     0.136
    34336     1.068     0.154    -0.189     0.156
    35566     0.990     0.202     0.222     0.089
    36797     1.451     0.135    -0.102     0.294
    38028     1.931     0.192     0.135     0.197
    39259     1.694     0.199     0.491     0.123
    40489     1.482     0.133     0.358     0.245
    41720     1.768     0.276     0.256     0.270
    42951     1.562     0.184    -0.047     0.211
    44181     2.085     0.205     0.072     0.170
    45412     1.999     0.166     0.344     0.134
    46643     2.314     0.171     0.481     0.214
    47874     2.307     0.196     0.131     0.214
    49104     2.507     0.200     0.426     0.237
    50335     2.432     0.121     0.778     0.152
    51566     2.814     0.150     0.689     0.192
    52796     3.030     0.202     0.617     0.126
    54027     3.322     0.260     0.903     0.186
    55258     3.816     0.165     1.675     0.217
    56489     4.001     0.278     1.593     0.158
    57719     4.245     0.179     2.296     0.202
    58950     4.753     0.180     2.794     0.231
    60181     5.301     0.130     4.651     0.292
    61412     4.876     0.015     6.317     0.144
    62642     3.141     0.176     8.888     0.244
    63873     0.099     0.164    10.216     0.141
    65104    -3.030     0.248     8.756     0.206
    66334    -4.734     0.249     6.456     0.192
    67565    -4.492     0.214     3.830     0.274
    68796    -4.589     0.190     2.712     0.171
    70027    -3.740     0.186     1.882     0.171
    71257    -3.483     0.216     1.077     0.202
    72488    -2.902     0.306     0.634     0.270
    73719    -2.717     0.212     0.889     0.232
    74950    -2.243     0.245     0.710     0.258
    76180    -2.149     0.145     0.720     0.241
    77411    -1.983     0.134     0.535     0.251
    78642    -1.743     0.178     0.336     0.161
    79872    -1.401     0.172     0.489     0.232
    81103    -1.510     0.303     0.315     0.226
    82334    -1.769     0.315    -0.105     0.271
    83565    -1.369     0.210     0.612     0.173
    84795    -1.068     0.271     0.031     0.137
    86026    -1.424     0.109     0.454     0.156
    87257    -1.062     0.259     0.245     0.140
    88487    -0.686     0.093    -0.253     0.210
    89718    -1.220     0.133     0.166     0.213
    90949    -0.659     0.270     0.011     0.312
    92180    -0.589     0.270    -0.164     0.220
    93410    -0.815     0.196     0.005     0.162
    94641    -1.130     0.153    -0.130     0.228
    95872    -0.925     0.109    -0.040     0.255
    97103    -0.720     0.300     0.245     0.250
    98333    -0.965     0.181    -0.494     0.220
    99564    -1.155     0.168    -0.303     0.170
   100795    -0.636     0.160    -0.004     0.231
   102025    -0.438     0.128     0.119     0.153
   103256    -0.647     0.218     0.101     0.235
   104487    -0.380     0.138     0.120     0.178
   105718    -0.583     0.200     0.213     0.146
   106948    -0.173     0.244    -0.075     0.232
   108179    -0.683     0.248    -0.072     0.198
   109410    -0.589     0.185     0.266     0.218
   110640    -0.474     0.284     0.034     0.317
   111871    -0.248     0.241    -0.083     0.178
   113102    -0.465     0.130    -0.525     0.054
   114333    -0.509     0.176     0.407     0.226
