Data for absorption spectrum
Date: 11-Jan-2022
Data taken by Reva and Durnaz

frequency (THz)  absorption   uncertainty
      37.0         0.331         0.014
      37.3         0.345         0.010
      37.6         0.308         0.025
      38.0         0.378         0.034
      38.3         0.361         0.022
      38.6         0.303         0.026
      38.9         0.358         0.023
      39.2         0.318         0.021
      39.5         0.326         0.013
      39.9         0.348         0.017
      40.2         0.330         0.009
      40.5         0.340         0.013
      40.8         0.339         0.008
      41.1         0.341         0.009
      41.5         0.335         0.010
      41.8         0.362         0.020
      42.1         0.334         0.017
      42.4         0.430         0.037
      42.7         0.417         0.017
      43.0         0.535         0.021
      43.4         0.585         0.023
      43.7         0.725         0.015
      44.0         0.772         0.010
      44.3         0.769         0.014
      44.6         0.672         0.018
      45.0         0.606         0.018
      45.3         0.451         0.036
      45.6         0.419         0.016
      45.9         0.438         0.033
      46.2         0.359         0.021
      46.5         0.377         0.009
      46.9         0.421         0.031
      47.2         0.364         0.024
      47.5         0.401         0.012
      47.8         0.369         0.024
      48.1         0.380         0.020
      48.5         0.415         0.012
      48.8         0.424         0.017
      49.1         0.399         0.017
      49.4         0.379         0.033
      49.7         0.394         0.031
      50.0         0.444         0.014
      50.4         0.484         0.034
      50.7         0.432         0.018
      51.0         0.456         0.009
