Data for cubism experiment
Date: 5-Jan-2022
Data taken by Gabriela and Grayson

       x       y       unc
      -7     -344       41
      -6     -193       35
      -5     -113       55
      -4       37       35
      -3       17       30
      -2      125       35
      -1       74       43
       0       63       52
       1      -46       31
       2      -12       32
       3     -114       49
       4     -136       44
       5     -130       36
       6     -258       31
       7     -165       29
       8     -137       36
       9     -127       56
      10      -79       53
      11      111       38
      12      255       39
      13      440       36
