Data for spliny experiment
Date: 7-Jan-2022
Data taken by Noah and Ellie

       x       y       unc
     1.2    -14.5      0.9
     1.5    -11.4      1.5
     1.8     -5.7      1.0
     2.1     -1.2      1.2
     2.6      6.3      2.2
     3.1      8.7      1.5
     3.8      9.1      1.4
     4.6     13.5      1.7
     5.6     11.5      1.1
     6.8      7.9      1.0
     8.2      0.9      1.5
    10.0     -3.5      1.3
    12.1     -4.3      1.4
    14.7     -2.4      0.7
    17.8      5.6      0.8
