# frequency_Hz,amplitude_ohms,phase_deg
1.0000000000e+03,1.0212500000e+02,4.4636700000e-02
1.1129751160e+03,1.0215900000e+02,2.9823700000e-02
1.2387136089e+03,1.0215500000e+02,2.1974200000e-02
1.3786574226e+03,1.0215600000e+02,1.6741200000e-02
1.5344114049e+03,1.0214800000e+02,8.2332100000e-03
1.7077617114e+03,1.0215600000e+02,6.5293500000e-03
1.9006962888e+03,1.0215200000e+02,8.5066300000e-03
2.1154276726e+03,1.0215700000e+02,8.5518300000e-03
2.3544183594e+03,1.0215800000e+02,-2.5389100000e-03
2.6204090467e+03,1.0215200000e+02,-5.2572000000e-03
2.9164500628e+03,1.0214400000e+02,-1.6832000000e-02
3.2459363470e+03,1.0215000000e+02,-1.9266300000e-02
3.6126463824e+03,1.0214900000e+02,-2.0179700000e-02
4.0207855267e+03,1.0215100000e+02,-2.7396800000e-02
4.4750342381e+03,1.0215000000e+02,-2.7522000000e-02
4.9806017503e+03,1.0216100000e+02,-3.1707400000e-02
5.5432858110e+03,1.0216100000e+02,-3.7451200000e-02
6.1695391686e+03,1.0216700000e+02,-3.8275200000e-02
6.8665435720e+03,1.0216500000e+02,-4.5280100000e-02
7.6422921288e+03,1.0215800000e+02,-5.3834000000e-02
8.5056809687e+03,1.0215300000e+02,-5.7008100000e-02
9.4666112631e+03,1.0215300000e+02,-6.0846700000e-02
1.0536102769e+04,1.0214400000e+02,-6.3395600000e-02
1.1726420202e+04,1.0214500000e+02,-7.1028800000e-02
1.3051213885e+04,1.0213900000e+02,-7.5978900000e-02
1.4525676287e+04,1.0211600000e+02,-8.2748400000e-02
1.6166716251e+04,1.0213300000e+02,-9.8214200000e-02
1.7993152896e+04,1.0212700000e+02,-1.0047000000e-01
2.0025931432e+04,1.0211100000e+02,-1.1215100000e-01
2.2288363359e+04,1.0208900000e+02,-1.2632400000e-01
2.4806393795e+04,1.0208100000e+02,-1.4074700000e-01
2.7608899013e+04,1.0206100000e+02,-1.5582400000e-01
3.0728017582e+04,1.0203700000e+02,-1.8481400000e-01
3.4199518934e+04,1.0200900000e+02,-1.9705400000e-01
3.8063213553e+04,1.0197900000e+02,-2.1557500000e-01
4.2363409521e+04,1.0200000000e+02,-2.3223700000e-01
4.7149420627e+04,1.0196000000e+02,-2.4767900000e-01
5.2476131892e+04,1.0192200000e+02,-2.7533100000e-01
5.8404628982e+04,1.0187300000e+02,-2.8100000000e-01
6.5002898717e+04,1.0182400000e+02,-3.0140000000e-01
